"NAME","S1903_C01_001E"
"Geographic Area Name","Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alameda CCD, Alameda County, California","30365"
"Berkeley CCD, Alameda County, California","52369"
"Fremont CCD, Alameda County, California","109173"
"Hayward CCD, Alameda County, California","127924"
"Livermore-Pleasanton CCD, Alameda County, California","81152"
"Oakland CCD, Alameda County, California","171887"
"Markleeville CCD, Alpine County, California","299"
"Ione CCD, Amador County, California","3234"
"Jackson CCD, Amador County, California","3378"
"Pine Grove-Silver Lake CCD, Amador County, California","4110"
"Sutter Creek-Plymouth CCD, Amador County, California","3368"
"Biggs CCD, Butte County, California","1311"
"Chico CCD, Butte County, California","41357"
"Durham CCD, Butte County, California","2039"
"Feather Falls CCD, Butte County, California","2206"
"Gridley CCD, Butte County, California","3686"
"Oroville CCD, Butte County, California","13728"
"Palermo CCD, Butte County, California","3123"
"Paradise CCD, Butte County, California","19347"
"Angels City CCD, Calaveras County, California","5617"
"Arnold-West Point CCD, Calaveras County, California","3630"
"San Andreas CCD, Calaveras County, California","8170"
"Central Colusa CCD, Colusa County, California","3717"
"East Colusa CCD, Colusa County, California","3097"
"West Colusa CCD, Colusa County, California","299"
"Antioch-Pittsburg CCD, Contra Costa County, California","49302"
"Briones CCD, Contra Costa County, California","1969"
"Central Contra Costa CCD, Contra Costa County, California","189481"
"East Contra Costa CCD, Contra Costa County, California","43273"
"Tassajara CCD, Contra Costa County, California","19452"
"West Contra Costa CCD, Contra Costa County, California","88800"
"Crescent City CCD, Del Norte County, California","7911"
"Klamath CCD, Del Norte County, California","425"
"Smith River-Gasquet CCD, Del Norte County, California","1463"
"North El Dorado CCD, El Dorado County, California","12394"
"Placerville CCD, El Dorado County, California","6391"
"South El Dorado CCD, El Dorado County, California","38528"
"South Lake Tahoe CCD, El Dorado County, California","11859"
"Caruthers-Raisin City CCD, Fresno County, California","2774"
"Coalinga CCD, Fresno County, California","4490"
"Firebaugh CCD, Fresno County, California","2698"
