x,
12TH,"Oakland CCD, Alameda County, California"
16TH,"San Francisco CCD, San Francisco County, California"
19TH,"Oakland CCD, Alameda County, California"
24TH,"San Francisco CCD, San Francisco County, California"
ANTC,"Antioch-Pittsburg CCD, Contra Costa County, California"
ASHB,"Berkeley CCD, Alameda County, California"
BALB,"San Francisco CCD, San Francisco County, California"
BAYF,"Hayward CCD, Alameda County, California"
CAST,"Hayward CCD, Alameda County, California"
CIVC,"San Francisco CCD, San Francisco County, California"
COLM,"South San Francisco CCD, San Mateo County, California"
COLS,"Oakland CCD, Alameda County, California"
CONC,"Central Contra Costa CCD, Contra Costa County, California"
DALY,"South San Francisco CCD, San Mateo County, California"
DBRK,"Berkeley CCD, Alameda County, California"
DELN,"West Contra Costa CCD, Contra Costa County, California"
DUBL,"Livermore-Pleasanton CCD, Alameda County, California"
EMBR,"San Francisco CCD, San Francisco County, California"
FRMT,"Fremont CCD, Alameda County, California"
FTVL,"Oakland CCD, Alameda County, California"
GLEN,"San Francisco CCD, San Francisco County, California"
HAYW,"Hayward CCD, Alameda County, California"
LAFY,"Central Contra Costa CCD, Contra Costa County, California"
LAKE,"Oakland CCD, Alameda County, California"
MCAR,"Oakland CCD, Alameda County, California"
MLBR,"South San Francisco CCD, San Mateo County, California"
MONT,"San Francisco CCD, San Francisco County, California"
NBRK,"Berkeley CCD, Alameda County, California"
NCON,"Central Contra Costa CCD, Contra Costa County, California"
OAKL,"Oakland CCD, Alameda County, California"
ORIN,"Central Contra Costa CCD, Contra Costa County, Californi"
PCTR,"Antioch-Pittsburg CCD, Contra Costa County, California"
PHIL,"Central Contra Costa CCD, Contra Costa County, California"
PITT,"Antioch-Pittsburg CCD, Contra Costa County, California"
PLZA,"West Contra Costa CCD, Contra Costa County, California"
POWL,"San Francisco CCD, San Francisco County, California"
RICH,"West Contra Costa CCD, Contra Costa County, California"
ROCK,"Oakland CCD, Alameda County, California"
SANL,"Hayward CCD, Alameda County, California"
SBRN,"South San Francisco CCD, San Mateo County, California"
SFIA,"San Francisco CCD, San Francisco County, California"
SHAY,"Hayward CCD, Alameda County, California"
SSAN,"San Francisco CCD, San Francisco County, California"
UCTY,"Hayward CCD, Alameda County, California"
WARM,"Elsinore Valley CCD, Riverside County, California"
WCRK,"Central Contra Costa CCD, Contra Costa County, California"
WDUB,"Livermore-Pleasanton CCD, Alameda County, California"
WOAK,"Oakland CCD, Alameda County, California"
BERY,"Lake Berryessa CCD, Napa County, California"
MLPT,"San Jose CCD, Santa Clara County, California"
